City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
194,zahedan,29.4963,60.8629,12.95,38,0,0.0,IR,1714509044
195,vila velha,-20.3297,-40.2925,27.97,87,0,4.12,BR,1714509045
196,iskateley,67.6803,53.1512,-6.66,94,100,2.68,RU,1714509045
197,tsengel,49.4783,100.8894,4.65,59,99,2.01,MN,1714509045
198,margaret river,-33.95,115.0667,16.0,68,73,6.52,AU,1714509046
199,izazi,-7.2,35.7333,24.5,63,96,1.48,TZ,1714509046
200,palembang,-2.9167,104.7458,26.05,100,95,1.03,ID,1714509046
201,faaa,-17.55,-149.6,28.98,65,20,1.54,PF,1714508907
202,zaragoza,41.6561,-0.8773,21.12,32,20,3.09,ES,1714508882
203,onega,63.9061,38.1404,0.73,92,100,2.19,RU,1714509048
204,slave lake,55.2834,-114.769,2.99,93,100,7.2,CA,1714509048
205,keflavik,64.0049,-22.5624,7.95,70,20,7.72,IS,1714509048
206,naze,28.3667,129.4833,23.51,89,100,9.22,JP,1714509049
207,luganville,-15.5333,167.1667,26.21,88,88,4.19,VU,1714508459
208,lilongwe,-13.9669,33.7873,17.79,68,0,1.31,MW,1714508853
209,guankou,28.15,113.6333,13.89,94,100,1.64,CN,1714509050
210,saint-pierre,-21.3393,55.4781,22.32,83,100,1.7,RE,1714509050
211,gaspra,44.4333,34.1,12.18,78,14,7.85,UA,1714509051
212,west island,-12.1568,96.8225,27.99,89,75,4.63,CC,1714508938
213,nevel',56.0209,29.9284,12.4,79,100,1.63,RU,1714509051
214,cookeville,36.1628,-85.5016,23.91,65,40,2.06,US,1714509052
215,nikolayevsk-on-amure,53.1406,140.73,1.79,56,99,1.79,RU,1714509052
216,tarko-sale,64.9225,77.785,-8.49,96,86,4.43,RU,1714509052
217,zaozersk,69.4005,32.4476,-0.41,98,100,2.04,RU,1714509053
218,thinadhoo,0.5333,72.9333,28.11,78,99,6.65,MV,1714509053
219,plymouth,41.8334,-70.8328,16.33,59,100,3.6,US,1714508909
220,hammerfest,70.6634,23.6821,2.25,69,75,2.57,NO,1714508947
221,alaghsas,17.0187,8.0168,33.5,8,38,3.71,NE,1714509054
222,sur,22.5667,59.5289,29.25,53,32,4.62,OM,1714509054
223,aguililla,18.7333,-102.7333,37.05,16,21,1.14,MX,1714509055
224,santa ines,-3.6667,-45.38,24.35,96,100,1.25,BR,1714509055
225,pervomayskoye,43.919,46.7102,16.43,66,96,4.48,RU,1714509056
226,akureyri,65.6835,-18.0878,3.96,75,75,4.63,IS,1714509056
227,pacific grove,36.6177,-121.9166,21.68,67,0,5.81,US,1714509056
228,saint-philippe,-21.3585,55.7679,22.28,81,100,4.8,RE,1714509057
229,nar'yan-mar,67.6713,53.087,-6.61,94,100,2.68,RU,1714509057
230,rabo de peixe,37.8,-25.5833,17.77,99,20,3.09,PT,1714509058
231,butembo,0.15,29.2833,15.48,98,100,0.24,CD,1714509058
232,fort bragg,35.139,-79.006,28.58,46,40,3.6,US,1714509058
233,richboro,40.2151,-75.0107,29.8,60,0,3.6,US,1714508878
234,fomboni,-12.28,43.7425,28.12,73,99,3.15,KM,1714509059
235,sheridan,44.8333,-106.9173,14.06,31,75,5.66,US,1714509027
236,bodaybo,57.8506,114.1933,0.7,94,100,2.75,RU,1714509060
237,san miguel de allende,20.9167,-100.75,30.71,16,78,2.68,MX,1714509060
238,kosh-agach,50.0,88.6667,3.5,68,90,0.89,RU,1714509061
239,buka,40.8108,69.1986,13.62,61,7,2.01,UZ,1714509061
240,siwa oasis,29.2041,25.5195,26.86,24,0,6.0,EG,1714509062
241,gavrilov posad,56.5597,40.1175,14.69,82,100,4.22,RU,1714509062
242,zemio,5.0314,25.1361,22.23,95,87,1.78,CF,1714509062
243,embi,48.8264,58.1442,7.25,72,0,2.47,KZ,1714509063
244,seydi,39.4816,62.9137,21.13,14,0,3.51,TM,1714509063
245,shibirghan,36.6676,65.7529,17.49,36,2,3.04,AF,1714509064
246,whitehorse,60.7161,-135.0538,11.68,46,40,4.63,CA,1714508704
247,baley,51.6,116.6333,8.36,39,100,3.02,RU,1714509065
248,ocean shores,46.9737,-124.1563,11.36,75,40,2.57,US,1714508819
249,airway heights,47.6446,-117.5933,9.81,42,75,3.6,US,1714509065
250,port saint john's,-31.6229,29.5448,21.67,70,47,6.16,ZA,1714509066
251,ebon,4.582,168.6964,27.98,82,100,9.25,MH,1714509066
252,smithers,54.7804,-127.1743,9.18,57,75,2.06,CA,1714509066
253,broome,42.2506,-75.833,20.95,75,100,4.63,US,1714509067
254,iranshahr,27.2025,60.6848,26.19,13,0,4.12,IR,1714509067
255,nebbi,2.4783,31.0889,21.5,80,32,2.66,UG,1714509067
256,collie,-33.3667,116.15,15.25,55,41,4.75,AU,1714509068
